Id	Degree	Label
USA	286	USA
Russia	110	Russia
India	44	India
China	27	China
Germany	163	Germany
Japan	205	Japan
France	102	France
Canada	33	Canada
Australia	12	Australia
Brazil	18	Brazil
Mexico	8	Mexico
Korea	47	Korea
Spain	27	Spain
Netherlands	16	Netherlands
Italy	47	Italy
Switzerland	19	Switzerland
Belgium	34	Belgium
Sweden	22	Sweden
South Africa	0	South Africa
New Zealand	0	New Zealand
Russia	110	Russia
Portugal	2	Portugal
Denmark	3	Denmark
Poland	10	Poland
Austria	9	Austria
Norway	5	Norway
Finland	13	Finland
Argentina	7	Argentina
Ireland	1	Ireland
Czech	5	Czech
Hungary	12	Hungary
Greece	1	Greece
Turkey	12	Turkey
Israel	15	Israel
Arabia	2	Arabia
Pakistan	3	Pakistan
Egypt	8	Egypt
Morocco	8	Morocco
Taiwan	3	Taiwan
Singapore	0	Singapore
UAE	0	UAE
Qatar	0	Qatar
